3;5,3,4;3,1,1;4
3;2,1,3;1,2,2;4
3;3,2,1;2,1,3;5
3;1,3,2;2,3,1;6
3;2,2,1;3,1,2;4
3;1,1,2;3,2,1;5
3;2,3,2;1,2,1;3
3;3,1,2;2,2,3;6
3;1,2,1;3,1,2;4
3;3,2,2;1,2,3;5
3;4,2,3;1,2,2;5
3;3,1,4;2,3,1;6
3;2,3,1;1,2,3;4
3;4,2,1;3,1,2;5
3;1,2,3;3,2,1;4
4;1,2,3,4;2,1,4,3;5
4;2,3,1,4;1,4,3,2;6
4;3,4,2,1;2,1,3,4;7
4;4,3,2,1;3,2,4,1;8
4;1,3,4,2;4,2,1,3;6
4;2,4,1,3;3,1,4,2;7
4;3,2,4,1;4,1,2,3;8
4;4,1,3,2;1,3,2,4;9
4;1,4,3,2;2,3,4,1;7
4;3,1,2,4;1,4,2,3;8
4;2,3,4,1;4,3,2,1;9
4;4,2,3,1;3,1,4,2;10
4;1,2,4,3;2,4,1,3;8
4;3,1,4,2;4,2,3,1;9
4;2,4,3,1;1,3,2,4;10
5;4,3,2,1,5;1,5,4,2,3;12
5;2,1,4,5,3;3,5,2,1,4;14
5;5,1,3,2,4;2,4,5,1,3;13
5;1,3,5,2,4;4,2,3,5,1;15
5;4,2,1,3,5;5,1,4,3,2;14
5;3,4,5,1,2;1,2,3,4,5;12
5;2,4,3,5,1;4,5,3,2,1;13
5;5,1,3,4,2;3,2,5,1,4;15
5;1,2,4,3,5;2,4,1,3,5;14
5;3,4,1,5,2;5,2,3,1,4;12
5;3,4,2,1,5;2,5,3,4,1;15
5;2,1,4,5,3;1,4,2,5,3;12
5;5,2,4,3,1;4,3,1,2,5;13
5;1,5,4,3,2;5,4,3,1,2;14
5;3,1,4,5,2;1,2,3,5,4;15
6;1,2,3,4,5,6;2,3,4,5,6,1;15
6;6,5,4,3,2,1;1,2,3,4,5,6;21
6;3,2,6,1,4,5;4,1,5,2,3,6;18
6;4,3,2,5,6,1;5,6,1,2,3,4;20
6;1,5,2,3,6,4;2,6,3,1,4,5;19
6;5,4,3,2,1,6;1,2,3,4,5,6;22
6;6,1,4,2,5,3;5,4,2,3,6,1;16
6;3,4,5,2,6,1;4,3,2,5,1,6;17
6;1,2,4,5,3,6;2,3,6,4,1,5;21
6;4,5,6,1,3,2;3,2,4,6,1,5;19
6;3,4,6,2,5,1;1,5,4,3,6,2;18
6;5,6,1,4,2,3;4,1,2,5,3,6;20
6;2,3,6,1,5,4;6,4,1,3,2,5;15
6;4,6,2,1,5,3;3,2,5,6,1,4;19
6;5,4,2,3,6,1;2,6,5,4,3,1;20
7;6,2,5,3,7,1,4;5,1,6,7,2,4,3;25
7;1,5,7,4,3,6,2;4,2,3,6,5,7,1;28
7;4,7,5,6,3,1,2;2,3,4,6,5,7,1;31
7;6,7,2,3,4,5,1;7,6,2,4,1,3,5;26
7;4,3,1,2,7,5,6;7,2,3,6,4,5,1;30
7;3,7,2,6,5,1,4;4,1,7,5,6,3,2;24
7;7,4,1,6,5,3,2;4,1,3,2,5,7,6;29
7;3,5,4,1,6,7,2;6,1,5,4,2,7,3;27
7;4,6,5,1,2,7,3;1,5,6,7,4,3,2;28
7;2,7,4,6,3,5,1;6,5,3,7,2,1,4;32
7;1,2,6,4,5,7,3;2,5,4,1,6,7,3;30
7;4,5,3,7,2,1,6;5,4,3,1,7,6,2;31
7;5,4,6,1,7,2,3;6,4,2,5,7,1,3;29
7;5,4,1,3,2,7,6;3,7,6,2,1,4,5;27
7;1,2,3,4,5,6,7;5,7,3,4,1,2,6;28
8;4,6,8,5,2,1,7,3;1,2,3,4,5,6,7,8;31
8;5,8,6,2,7,1,4,3;3,4,5,6,7,8,1,2;35
8;1,5,4,8,6,7,2,3;4,5,6,7,8,1,2,3;33
8;7,3,8,1,6,2,5,4;8,7,6,5,4,3,2,1;30
8;6,5,8,4,3,7,2,1;5,8,3,7,1,6,4,2;32
8;2,4,3,7,5,1,8,6;4,8,6,1,2,7,5,3;29
8;3,4,1,5,2,6,7,8;6,7,8,1,2,3,4,5;30
8;8,7,5,6,3,4,2,1;2,3,4,5,6,7,8,1;33
8;4,5,7,8,3,6,1,2;7,8,6,4,5,1,2,3;35
8;2,7,6,5,4,1,8,3;1,2,3,4,5,6,7,8;32
8;6,1,2,7,5,4,8,3;8,4,3,6,7,5,2,1;34
8;8,3,1,5,4,2,6,7;7,2,1,8,3,6,5,4;29
8;5,8,6,1,7,2,3,4;8,7,6,5,4,3,2,1;32
8;3,5,6,7,8,4,2,1;6,2,8,4,7,1,3,5;34
8;4,1,3,5,7,6,8,2;3,4,5,6,7,8,1,2;33
